HomeTeam,AwayTeam,Result Predicted,Away win %,Draw %,Home win %
Man Utd,Leicester,D,20.544781175689145,44.06319387618996,35.3920249481209
Newcastle,Spurs,D,27.292563461881652,53.28250771252524,19.424928825593092
Bournemouth,Cardiff,D,21.879647539603102,54.7310976569223,23.38925480347461
Fulham,Crystal Palace,D,29.544975348089235,43.81912046237799,26.635904189532774
Huddersfield,Chelsea,D,24.00847727099897,57.258686165312476,18.732836563688558
Watford,Brighton,D,19.380134177708587,57.20067688435406,23.419188937937346
Wolves,Everton,D,17.611726629133056,62.39409216975348,19.994181201113467
Liverpool,West Ham,D,18.41015314748427,62.84637458360862,18.743472268907116
Southampton,Burnley,D,22.270218144890613,58.40517895933222,19.32460289577718
Arsenal,Man City,D,17.59354004819577,58.93450995874453,23.471949993059702
Cardiff,Newcastle,D,27.550648477466794,43.195744104187064,29.253607418346146
Everton,Southampton,D,13.66509865524472,61.626404408701376,24.7084969360539
Leicester,Wolves,D,19.37216133891878,62.24796510655821,18.37987355452301
Spurs,Fulham,D,21.165630095842275,50.014689402838506,28.819680501319215
West Ham,Bournemouth,D,26.292510782460166,50.10759810242512,23.599891115114715
Chelsea,Arsenal,D,19.16773725459438,63.96597849575104,16.86628424965459
Burnley,Watford,D,22.526006409535114,44.75179800402887,32.722195586436
Man City,Huddersfield,D,19.54321982397784,55.796956569776725,24.659823606245443
Brighton,Man Utd,D,21.971026035005004,60.159803964117145,17.86917000087785
Crystal Palace,Liverpool,D,26.337136517660113,49.87089749118986,23.79196599115003
Wolves,Man City,D,21.139424642291758,59.02685920177817,19.83371615593006
Arsenal,West Ham,D,16.305881769828712,58.26626268209202,25.427855548079265
Bournemouth,Everton,D,16.340782572957874,64.63429933988625,19.02491808715587
Huddersfield,Cardiff,D,24.393539907572645,50.730209956417916,24.876250136009446
Southampton,Leicester,D,25.34246887342057,54.4839811003981,20.173550026181346
Liverpool,Brighton,D,18.417970195251915,62.36528883014179,19.216740974606285
Watford,Crystal Palace,D,26.79635015273714,46.44421648121585,26.75943336604701
Fulham,Burnley,D,21.608194064016985,54.267286573708404,24.1245193622746
Newcastle,Chelsea,D,25.023332918846446,57.28030510566098,17.696361975492568
Man Utd,Spurs,D,23.46390543567373,45.78776978567587,30.748324778650403
Leicester,Liverpool,D,17.537009624355004,60.09079743959197,22.372192936053025
Brighton,Fulham,D,12.93242290579113,66.45910945035574,20.60846764385314
Chelsea,Bournemouth,D,20.098689001315524,58.02799923073698,21.8733117679475
Crystal Palace,Southampton,D,23.190779460577186,54.233174347351955,22.576046192070866
Everton,Huddersfield,D,14.686463361220875,62.59876965085237,22.714766987926758
West Ham,Wolves,D,26.422904779575045,54.31334529005437,19.263749930370583
Man City,Newcastle,D,23.84380041745794,43.1486082573782,33.00759132516385
Cardiff,Arsenal,D,25.594991063254668,54.509243221636275,19.89576571510907
Burnley,Man Utd,D,32.3022978671,46.87162892323831,20.826073209661686
Watford,Spurs,D,24.67849194300117,54.02340907711501,21.298098979883815
Spurs,Liverpool,D,24.558802164539976,45.055748516350214,30.385449319109814
Bournemouth,Leicester,D,20.959745253801383,56.359896799881646,22.680357946316963
Chelsea,Cardiff,D,21.762092272536858,54.89301409402266,23.34489363344047
Huddersfield,Crystal Palace,D,28.41632785278873,45.7633179128385,25.82035423437276
Man City,Fulham,D,17.677423912775843,55.69178697688416,26.630789110339993
Newcastle,Arsenal,D,22.732540744527483,60.032300358864646,17.235158896607885
Watford,Man Utd,D,26.884300088198078,54.36445811116361,18.751241800638315
Wolves,Burnley,D,19.653609454848624,57.74107001797163,22.605320527179753
Everton,West Ham,D,15.921500360639085,58.711275414439115,25.367224224921802
Southampton,Brighton,D,22.295073573694598,58.800981943854644,18.903944482450758
Fulham,Watford,D,20.88615474591209,49.482143484614234,29.63170176947368
Burnley,Bournemouth,D,25.71148787495759,47.264952325164685,27.023559799877724
Cardiff,Man City,D,25.912631902812233,51.98478613652872,22.102581960659045
Crystal Palace,Newcastle,D,30.17046517100517,42.267164959444216,27.56236986955062
Leicester,Huddersfield,D,16.192908922863076,64.76537187269683,19.041719204440092
Liverpool,Southampton,D,15.797168300331311,65.9505782411334,18.252253458535293
Man Utd,Wolves,D,20.552878575910498,50.62495632789531,28.822165096194208
Brighton,Spurs,D,20.118657521922497,59.635121918939724,20.246220559137765
West Ham,Chelsea,D,27.88335927411092,53.241234218377045,18.875406507512036
Arsenal,Everton,D,14.567848208476505,61.91514188749376,23.51700990402974
West Ham,Man Utd,D,32.73422840412346,49.242290663145745,18.0234809327308
Arsenal,Watford,D,15.617263956034593,51.925150571839254,32.45758547212615
Everton,Fulham,D,13.245217545784085,62.29675851229507,24.458023941920832
Huddersfield,Spurs,D,26.182869475456933,53.25668898116101,20.560441543382048
Man City,Brighton,D,20.910926901551015,51.23361192552155,27.855461172927438
Newcastle,Leicester,D,24.50199945941082,52.573527319136495,22.924473221452686
Wolves,Southampton,D,16.9856074206567,61.87433715994229,21.14005541940101
Chelsea,Liverpool,D,18.151287665173882,60.27498626623504,21.573726068591082
Cardiff,Burnley,D,24.058854473893366,50.78385611718669,25.157289408919954
Bournemouth,Crystal Palace,D,25.70966798478954,49.80214201858954,24.488189996620914
Brighton,West Ham,D,15.615126510731889,62.914579242100245,21.47029424716787
Burnley,Huddersfield,D,22.09443691466676,54.52809559696615,23.377467488367085
Crystal Palace,Wolves,D,29.00596743142613,51.506333851045284,19.4876987175286
Leicester,Everton,D,15.699496899245569,64.61320290956095,19.687300191193486
Spurs,Cardiff,D,28.48790528913319,39.69998066812749,31.81211404273933
Watford,Bournemouth,D,21.28171117965953,54.52030287324451,24.197985947095958
Man Utd,Newcastle,D,20.617942448516892,40.0668460382289,39.3152115132542
Fulham,Arsenal,D,22.9156594456323,58.06526810880034,19.019072445567367
Southampton,Chelsea,D,25.672125830625358,58.881155356108295,15.446718813266342
Liverpool,Man City,D,19.719467006522805,63.10468018085004,17.175852812627156
Chelsea,Man Utd,D,25.338705004357404,57.745599723582195,16.915695272060404
Bournemouth,Southampton,D,15.764422902486066,64.11449318079939,20.12108391671456
Cardiff,Fulham,D,20.470598825385895,55.87538694466064,23.654014229953464
Man City,Burnley,D,20.835177915519722,50.76099459344601,28.403827491034278
Newcastle,Brighton,D,21.60394022578716,56.86621387377482,21.529845900438023
West Ham,Spurs,D,30.213618962613463,49.20235915294188,20.584021884444642
Wolves,Watford,D,19.109206890489514,52.9609230758832,27.92987003362728
Huddersfield,Liverpool,D,20.54353167544889,56.244516465895856,23.21195185865526
Everton,Crystal Palace,D,22.235546187183516,47.76120523370203,30.003248579114455
Arsenal,Leicester,D,18.553919856274288,53.60818907348893,27.83789107023677
Brighton,Wolves,D,17.18683356511472,64.30456419257129,18.50860224231399
Fulham,Bournemouth,D,23.704159915748228,51.963729202007656,24.332110882244116
Liverpool,Cardiff,D,22.048469871722855,56.615261555837925,21.33626857243923
Southampton,Newcastle,D,26.11563807932581,50.87283425381918,23.011527666855017
Watford,Huddersfield,D,17.908298489798298,61.59300834268664,20.498693167515064
Leicester,West Ham,D,17.631639408749304,61.00980519189252,21.358555399358178
Burnley,Chelsea,D,27.51434705222796,50.67604593996477,21.80960700780726
Crystal Palace,Arsenal,D,27.997532036659834,53.27787554632755,18.724592417012627
Man Utd,Everton,D,16.64350082363541,52.50795928629965,30.848539890064945
Spurs,Man City,D,26.72454281086669,46.41425649640351,26.861200692729792
Bournemouth,Man Utd,D,25.47591454111453,57.57602391991357,16.9480615389719
Cardiff,Leicester,D,27.102851024710368,46.898476117989965,25.998672857299677
Everton,Brighton,D,15.896809573500917,58.14680273516066,25.956387691338424
Newcastle,Watford,D,20.985766447215838,51.816464719568124,27.197768833216053
West Ham,Burnley,D,24.04097963276521,52.488912883941744,23.47010748329304
Arsenal,Liverpool,D,16.17928412280354,57.25028582257331,26.570430054623134
Wolves,Spurs,D,25.037525468696227,54.86579436595854,20.09668016534523
Man City,Southampton,D,18.19526283405446,54.963985247065914,26.84075191887962
Chelsea,Crystal Palace,D,25.58106216752555,49.96808679983072,24.45085103264372
Huddersfield,Fulham,D,17.33148353102406,61.1173008601424,21.551215608833544
Cardiff,Brighton,D,24.12832120910231,51.21847177039515,24.653207020502535
Huddersfield,West Ham,D,20.671055502223847,57.15079162363058,22.178152874145574
